LocationNumber,RSSI,TxLinkSpeed,RxLinkSpeed,MainAPConnect,TxThroughput,AvgPingLatency
4,-52.65,702.96,842.74,0,15.51,54.21
3,-66.6,337.76,399.07,1,18.28,52.73
35,-76.44,165.82,152.77,1,14.18,50.49
31,-77.26,180.6,119.26,1,13.49,77.41
34,-71.72,254.67,110.66,0,11.59,54.7
32,-74.04,180.55,235.77,1,13.73,65.91
28,-63.84,468.78,389.12,1,11.19,88.29
8,-65.85,326.3,391.44,1,18.23,56.22
24,-62.77,664.83,584.08,1,17.47,50.28
23,-65.86,639.12,645.53,1,16.48,44.35
31,-77.6,193.34,121.37,1,15.51,63.08
35,-74.66,188.24,132.27,1,16.38,45.94
32,-74.17,232.36,220.2,1,13.62,73.2
3,-65.76,359.5,381.65,1,15.44,66.22
8,-66.63,349.75,289.62,1,13.58,48.05
1,-76.17,160.47,173.05,1,11.98,45.66
18,-53.38,702.48,583.57,1,14.61,49.78
2,-72.89,172.69,116.65,1,13.61,50.87
28,-63.72,342.24,395.16,1,15.75,60.84
8,-66.77,354.04,304.91,1,14.93,50.21
13,-59.06,673.98,607.02,1,13.81,55.32
18,-52.86,712.74,659.17,1,15.26,55.58
5,-58.91,642.24,700.17,0,14.52,73.78
8,-66.56,269.3,383.39,1,14.85,47.2
11,-60.36,365.84,402.4,1,17.08,56.3
10,-61.45,466.78,455.32,1,15.59,54.26
22,-58.98,643.16,587.76,1,16.07,49.73
2,-72.15,105.29,129.71,1,14.23,49.58
34,-71.63,229.51,113.77,0,4.75,60.44
27,-53.8,530.56,474.39,1,15.42,49.42
23,-67.76,508.41,581.13,1,16.24,45.1
26,-60.99,664.56,506.37,1,6.4,53.66
32,-73.93,226.51,209.65,1,16,71.74
28,-64,362,374.4,1,15.02,61.75
2,-73.58,128.17,188.68,1,14.9,52.71
21,-51.75,850.06,842.38,1,15.15,47.35
26,-59.66,658.09,550.82,1,16.38,53.83
36,-75.4,243.6,127.22,1,8,55.56
17,-49.29,855.77,868.07,1,11.99,51.17
1,-76.19,177.05,177.29,1,15.17,51.07
13,-60.81,524.71,584.98,1,14.63,52.81
23,-67.02,511.65,602.66,1,15.69,50.76
9,-62.13,525.7,351.09,1,4.8,56.34
33,-69.86,227.63,232.87,1,7.45,72.75
26,-60.46,717.67,531.66,1,14.73,62.62
32,-73.49,359.17,243.37,1,16.41,66.3
28,-63.67,472.07,342.5,1,15.14,67.28
14,-48.92,788.08,573.96,1,15.14,52.03
19,-47.32,885.66,862.82,1,12.16,47.75
21,-51.86,858.14,861.14,1,16.37,47.61
2,-72.9,93.42,192.3,1,13.6,56.55
5,-59.57,655.47,578.86,0,11.14,48.07
6,-69.61,473.52,252.38,1,16.47,51.21
19,-46.54,874.1,856.75,1,15.45,48.83
32,-73.97,217.44,167.88,1,14.43,65.51
21,-51.09,896.48,843.58,1,13.75,44.38
2,-72.82,120.68,133.44,1,16.05,43.08
2,-73.38,173.23,175.8,1,11.93,53.5
19,-48.44,840.13,851.04,1,16.95,45.16
22,-59.21,643.15,644.61,1,13.9,48.19
26,-59.18,704.53,593.84,1,16.53,50.81
3,-66.1,328.86,404.94,1,15.86,62.35
10,-60.69,467.18,472.41,1,15.45,53.88
20,-40.13,873.92,857.38,1,17.59,51.81
33,-70.38,330.53,289.29,1,6.06,66.76
19,-48.39,875.01,869.97,1,4.7,53.93
36,-74.3,113.12,109.88,1,14.18,49.33
6,-68.78,167.57,274.13,1,13.4,50.15
14,-49.39,806.17,598.94,1,14.69,46.55
34,-69.51,248.95,253.23,0,13.04,56.11
33,-71.23,475.72,234.54,1,15.76,64.66
22,-58.71,641.51,638.87,1,5.5,46.97
10,-62.05,460.06,457.27,1,15.52,54.24
14,-48.45,785.43,785.89,1,15.78,50.82
34,-70.31,242.16,291.83,0,13.7,62.27
24,-62.95,463.69,576.19,1,16.66,48.33
24,-61.08,453.93,529.44,1,6.14,48.9
18,-53.8,676.38,592.48,1,16.35,54.02
10,-61.44,483.48,464.71,1,15.55,54.35
33,-70.66,329.97,245.86,1,14.74,65.3
36,-75.39,115.88,122.22,1,14.13,50.24
11,-60.91,354.51,393.92,1,17.6,49.61
11,-60.97,362.12,402.84,1,16.5,55.15
26,-60.08,641.08,531.26,1,17.59,55.11
26,-59.36,708,567.95,1,14.41,52.64
21,-50.19,855.38,869.38,1,16.68,53.47
31,-76.5,77.69,121.73,1,13.77,89.8
16,-53.9,774.05,708.01,1,12.37,50.43
25,-70.43,342.46,332.07,1,14.86,64.61
14,-48.72,797.61,595.57,1,15.28,45.87
16,-53.27,633.39,576.4,1,12.61,48.11
36,-74.91,175.47,137.27,1,11.08,46.95
1,-75.88,191.48,181.01,1,14.13,49.04
9,-61.93,360.89,478.34,1,5.64,64.82
24,-62.97,654.53,591.08,1,17.27,50.45
18,-53.92,656.57,655.6,1,14.95,47.7
20,-40.29,863.51,872.41,1,17.2,52.77
1,-76.65,176.22,113.49,1,16.21,55.16
36,-74.93,115.22,103.3,1,12.9,51.95
18,-51.97,657.39,477.31,1,5.65,49.49
12,-67.4,216.79,168.52,1,16.18,49.81
11,-60.61,440.67,364.07,1,15.38,53.62
15,-50.96,776.56,764.3,1,17.28,39.59
21,-52.8,863.95,866.28,1,15.17,48.04
36,-74.7,122.87,130.07,1,14.27,51.23
16,-51.82,802.27,592.59,1,17.7,52.43
13,-60.61,492.85,525.34,1,14.31,53.43
33,-70.01,332.85,263.67,1,14.77,63.91
10,-58.71,515.18,410.57,1,16.83,54.82
27,-53.43,528.76,572.95,1,16.52,70.59
9,-63.02,461.87,473.01,1,5.79,50.34
24,-60.94,486.04,526.9,1,5.71,48.29
20,-41.15,876.08,855.65,1,17.3,46.22
26,-59.44,638.89,506.61,1,17.33,54.42
16,-52.7,768.42,655.17,1,4.63,52.35
32,-73.26,248.79,184.6,1,14.42,62.17
28,-64.39,479.3,374.64,1,17.21,84.62
3,-66.58,252.1,400.38,1,14.18,54.36
4,-51.61,773.56,854.13,0,7.17,46.99
19,-47.78,885.95,875.55,1,14.75,47.32
27,-54.9,633.91,656.23,1,14.53,47.72
27,-54.18,508.5,445.02,1,15.57,48.13
7,-70.5,176.44,258.47,1,14.47,52.36
27,-55.56,529.9,584.38,1,15.96,47.4
2,-72.99,181.54,112.34,1,15.89,52.41
28,-63.51,463.23,409.25,1,17.14,85.16
25,-71.23,378.93,288.09,1,16.75,58.2
1,-76.72,177.93,157.98,1,13.12,48.1
9,-61.05,714.19,518.1,1,4.59,66.45
32,-74.19,247.31,231.98,1,6.76,66.69
33,-71.44,481.44,341.74,1,12.45,67.55
27,-54.68,535.02,657.65,1,14.05,54.25
24,-62.24,608.43,472.81,1,13.7,54.92
26,-60.26,708.78,514.98,1,14.47,62.18
12,-66.89,344.05,266.55,1,16.58,56.23
14,-49.5,883.06,569.93,1,15.29,53.26
21,-50.55,874.77,871.99,1,16.1,47.87
27,-56.13,529.23,472.86,1,13.59,52.88
17,-48.39,872.19,872.6,1,18.7,51.84
36,-75.19,123,125.03,1,13.76,52.88
34,-70.84,221.41,245.79,0,13.83,57.49
4,-50.97,792.07,888.16,0,3.01,49.92
22,-58.67,648.35,646.83,1,15.64,47.2
22,-58.7,647.6,642.05,1,15.11,46.56
26,-59.8,542,584.9,1,16.87,55.33
35,-74.67,113.9,131.74,1,5.46,53.67
8,-67.3,360.92,301.83,1,14.13,47.35
4,-51.57,776.34,881.78,0,3.86,50.3
28,-64.53,338.44,374.01,1,15.75,87.73
5,-57.33,644.07,578.37,0,4.27,49.05
2,-73.19,123.18,132.51,1,14.74,47
14,-50.16,768.86,858.61,1,4.37,44.8
16,-52.94,624.86,678.02,1,17.33,45.07
19,-47.87,857.76,869.89,1,17.57,52.32
34,-70.83,165.61,113.04,0,13.31,58.14
10,-60.68,532.15,327.53,1,15.89,55.86
12,-68.34,361.54,233.05,1,15.09,50.46
28,-63.75,465.23,392.09,1,16.53,69.5
24,-62.06,529.49,584.54,1,17.55,53.17
33,-70.99,484.19,261.53,1,12.78,72.33
9,-62.23,533.47,335.73,1,14.93,71.35
27,-54.98,514.91,468.17,1,16.67,50.91
18,-54.67,640.62,585.35,1,16.23,54.29
33,-71.03,230.9,252.01,1,7.76,73.61
3,-65.9,264.82,381.8,1,16.4,55.78
26,-60.74,520.27,603.23,1,16.58,55.78
27,-55.29,532.49,584.01,1,15.82,46.11
20,-38.53,859.07,842.95,1,15.38,45.86
1,-75.47,187.45,157.55,1,14.27,49.02
16,-52.91,780.93,807.8,1,15.05,43.03
13,-60.52,550.49,504.6,1,14.78,51.6
34,-69.45,232.52,275.34,0,13.55,62.09
10,-60.47,493.39,476.97,1,15.92,54.55
6,-68.2,373.26,297.03,1,5.56,51.09
23,-68,522.4,590.03,1,10.73,50.57
15,-51,788.86,696.14,1,4.09,51.49
29,-69.74,483.12,238.14,1,15.74,67.22
4,-51.36,765.4,892.6,0,3.26,50.32
4,-51.9,770.74,876.06,0,14.58,49.56
27,-55.15,656.39,653.97,1,13.83,47.87
26,-59.76,536.26,528.19,1,15.22,53.96
33,-71.39,345.45,265.5,1,4.32,64.21
12,-67.46,344.2,286.98,1,14.67,52.34
25,-71.39,470.21,225.01,1,11.54,58.05
20,-40.45,855.21,882.07,1,15.43,52.41
22,-58.2,666.08,661.75,1,17.84,53.68
14,-50.44,868.91,789.6,1,15.06,51.67
6,-69.66,363.59,220.48,1,17.45,48.72
1,-76.01,182.28,131.14,1,15.16,52.77
2,-72.94,110.91,126.77,1,11.88,72.82
2,-73.21,128.09,183.7,1,13.48,44.84
34,-71.02,274.4,186.24,0,1.88,57.85
3,-65.84,349.42,249.86,1,8.98,53.42
34,-69.66,265.54,266.96,0,11.87,57.8
26,-59.95,640.45,517.97,1,17.26,53.17
2,-72.84,170.78,143.94,1,13.68,46.14
7,-70.73,221.08,179.85,1,10.67,50.49
16,-53.31,784.81,637,1,13.09,51.41
24,-63.4,514.66,532.21,1,4.99,50.37
8,-66.56,360.42,332.16,1,15.47,56.42
17,-49.62,861.14,880.58,1,15.66,50.61
2,-72.08,105.52,126.23,1,17.27,43.36
31,-76.61,176.9,138.3,1,4.21,75.31
33,-70.52,430.06,250.56,1,4.03,62.46
6,-78.96,117.39,5.5,1,15.77,52.4
14,-48.04,861.76,784.31,1,4.74,54.34
34,-70.25,262.5,259.49,0,4.85,54.21
11,-61.12,362.67,392.24,1,11.88,49.39
13,-59.89,463.2,537.58,1,17.13,54.29
8,-66.9,353.04,355.25,1,15.09,52.15
27,-54.91,527.16,568.41,1,15.96,46.73
29,-69.13,346.93,240.95,1,15.38,54.04
23,-64.78,641.64,639.17,1,3.94,47.53
3,-65.65,353.91,370.39,1,16.28,54.59
19,-46.82,868.35,884.95,1,15.36,47.98
29,-68.79,345.69,337.55,1,16.13,52.44
9,-62.33,366.77,520.16,1,16.69,57.65
17,-47.4,872.4,871.46,1,9.54,47.31
11,-62.69,363.99,386.85,1,16.63,58.44
21,-49.87,857.09,863.75,1,4.68,52.16
32,-73.18,230.74,160.88,1,9.16,67.03
11,-60.52,336.06,354.34,1,14.67,51.75
12,-66.97,346.4,287.3,1,15.37,70.64
36,-74.24,122.4,114.72,1,3.36,61.41
1,-77.17,168.21,115.1,1,14.42,52.23
1,-76.88,155.27,130.66,1,17.51,47.66
3,-66.34,239.91,398.03,1,9.88,57.46
31,-76.31,174.51,132.65,1,14.36,73.69
23,-65.36,654.37,696.5,1,16.52,44.98
4,-50.82,772.29,853.54,0,3.46,50.31
22,-59.95,643.29,663.73,1,15.23,51.08
11,-60.37,249.12,263.29,1,16.97,56.83
29,-67.65,342.64,298.87,1,16.67,48.74
34,-71.92,254.46,26.94,0,13.93,58.26
31,-77.69,173.38,136.26,1,15.04,78.3
22,-58.9,522.24,658.74,1,5.2,62.49
25,-71.22,234.53,329.7,1,14.76,54.43
32,-73.57,224.49,237.94,1,14.18,73.32
13,-59.03,656.6,510.3,1,17.74,53.78
16,-53.78,778.94,783.27,1,17.72,51.59
21,-49.27,858.06,847.11,1,5.48,52.45
20,-40.05,872.9,852.72,1,15.33,44.61
3,-65.96,354.4,379.55,1,11.92,57.66
9,-61.9,344.47,441.6,1,5.42,64.37
34,-71.66,261.18,157.79,0,1.99,57.42
32,-74.19,208.57,183.03,1,14.6,64.09
14,-50.26,866.49,802.19,1,17.13,50
12,-66.72,323.27,282.81,1,17.05,57.86
34,-71.31,248.4,170.35,0,3.92,48.92
25,-70.86,357.88,328.2,1,14.79,61.51
17,-50.05,871.38,889.21,1,17.16,52.22
19,-47.84,875.41,860.27,1,14.8,45.64
26,-60.61,649.19,534.62,1,17.23,53.07
4,-53.36,785.9,879.09,0,15.32,50.96
3,-65.75,469.6,378.25,1,16.51,55.88
21,-48.94,856.97,873.33,1,17.13,46.54
14,-49.03,862.79,781.56,1,15.62,51.33
28,-64.18,463.27,402.09,1,17.34,84.72
20,-39.35,848.52,864.32,1,17.29,51.23
21,-49.64,861.04,862.77,1,16.78,46.35
2,-73.73,233.06,133.06,1,15.16,49.49
7,-69.99,143.34,238.14,1,15.13,51.09
34,-75,162.43,124.78,1,9.6,53.41
28,-64.3,340.96,399.12,1,15.75,88.39
5,-59.3,644.35,708.02,0,14.92,48.84
23,-66.7,655.64,590.13,1,14.73,46.75
17,-48.75,859.27,868.42,1,16.69,48.94
34,-71.89,192.5,180.79,0,15.44,63.33
9,-61.96,536.11,469.04,1,16.41,52.5
27,-54.6,507.44,623.65,1,9.35,48.97
22,-59.49,699.72,590.09,1,16.47,46.57
7,-69.35,182.19,257.37,1,14.79,52.37
6,-66.51,467.75,261.87,1,14.56,47.75
24,-62.44,656.34,570,1,17.53,46.78
8,-67.04,241.72,405.69,1,14.62,47.04
18,-54.16,640.59,651.66,1,16.3,46.66
11,-60.77,461.11,225.77,1,15.3,47.63
11,-61.25,361.42,389.45,1,12.21,47.73
26,-59.9,668.36,536.55,1,16.96,54.08
11,-63.27,349.18,224.58,1,11,50.55
4,-51.9,653.51,877.2,0,16.3,46.68
26,-60.18,658.32,534.75,1,16.61,54.38
14,-48.65,875.02,776.13,1,8.02,53.43
20,-38.66,861.86,867.11,1,16.3,47.34
16,-53.41,778.15,656.47,1,5.76,50.98
16,-52.38,793.71,799.64,1,17.73,51.5
17,-48.52,866.58,871.93,1,15.48,47.52
2,-73.63,231.46,153.32,1,14.27,59.37
17,-50.09,879.04,868.87,1,4.47,48.5
15,-51.31,755.04,789.86,1,16.33,52.42
21,-51.06,869.65,848.59,1,16.7,53.46
35,-73.32,242.46,129.1,1,14.4,52.24
17,-50.18,861.14,852.08,1,14.99,47.23
9,-62.34,460.86,474.34,1,15.82,72.12
12,-67.31,248.32,182.46,1,16.39,49.95
35,-73.62,224.14,120.26,1,16.15,51.7
15,-50.19,792.2,785.84,1,3.67,49.37
34,-70.76,225.52,283.66,0,13.31,60.63
17,-48.51,864.82,870.06,1,16.14,58.58
6,-67.51,462.48,246.27,1,14.94,45.48
16,-52.7,805.84,784.89,1,18.16,47.68
3,-66.09,388.07,363.63,1,8.11,53.51
11,-61.62,347.39,357.15,1,16.76,55.3
12,-67.08,358.54,280.05,1,15.49,72.08
10,-62.05,616.38,482.66,1,15.62,59.67
3,-66.96,227.33,352.96,1,15.89,57.04
5,-59.55,636.48,699.88,0,14.66,49.53
35,-74.06,159.24,141.82,1,12.91,52.66
4,-50.21,648.43,867.89,0,4.79,52.72
36,-74.29,149.38,93.58,1,8.84,49.26
27,-55.15,518.62,643.85,1,16.48,57.93
15,-51.22,795,775.14,1,4.18,65.96
28,-64.49,361.81,351.43,1,15.99,59.1
17,-49.16,867.24,855.56,1,17.26,54.38
18,-51.88,639.86,645.4,1,15.1,53.55
12,-67.13,471.09,278.51,1,15.38,51.85
19,-47.92,874.29,883.8,1,17.83,54.06
18,-53.45,658.03,644.87,1,14.81,47.74
13,-60.46,511.22,538.75,1,16.89,52.49
20,-38.83,864.52,867.87,1,15.97,47.89
11,-62.74,342.67,237.85,1,16.3,49.38
32,-74.47,249.4,214,1,14.65,64.7
34,-70.21,268.06,210.04,0,11.65,57.94
22,-59.22,542.09,648.49,1,17.37,45.15
5,-59.25,648.6,707.34,0,4.69,49.23
17,-48.49,847.43,873.94,1,17.42,47.37
32,-73.71,220.49,179.5,1,12.45,69.35
7,-69.63,182.64,222.65,1,15.25,47.24
3,-65.99,341.61,347.84,1,16.9,53.54
9,-62.31,636.64,512.47,1,11.63,51.16
9,-61.75,520.89,512.94,1,16.48,48.33
32,-74.1,242.28,234.63,1,5.83,66.86
21,-51.42,858.81,880.86,1,15.6,47.59
26,-58.91,535.8,475.35,1,14.95,53.13
12,-66.29,272.54,260.32,1,15.56,51.75
6,-69.18,244.19,305.26,1,16.77,50.4
4,-50.18,783.63,861.31,0,3.14,48.95
27,-54.6,539.1,482.94,1,17.53,57.36
10,-59.88,458.79,379.57,1,16.23,48.96
7,-69.98,364.53,235.96,1,14.72,47.85
5,-57.99,644.86,698.91,0,3.13,57.78
16,-52.91,786.88,782.42,1,15.92,49.07
23,-66.79,529.39,593.32,1,15.8,45.15
18,-54.51,666.63,584.47,1,16.37,52.86
5,-59.3,654.51,612.25,0,11.1,47.72
33,-70.46,473.44,248.88,1,12.77,72.18
29,-67.33,364.59,276.48,1,15.85,47.91
32,-74.8,242.19,225.47,1,15.05,72.61
5,-58.64,673.62,716.9,0,4.61,46.63
19,-49.93,873.99,857.15,1,16.49,46.43
26,-58.52,667.14,525.57,1,10.22,54.25
9,-62.11,525.7,346.68,1,15.98,67.4
2,-73.25,139.81,166.15,1,15.42,52.41
5,-58.89,775.3,694.86,0,3.56,47.92
36,-74.68,125.95,116.61,1,13.75,53.44
1,-76.49,217.78,177.38,1,3.73,58.94
9,-62.49,707.63,517.41,1,4.6,66.32
18,-53.46,656.9,634.37,1,14.32,47.84
25,-69.9,233.35,259.82,1,14.59,56.11
35,-76.49,167.59,117.13,1,16.28,49.44
23,-66.7,524.21,576.35,1,16.17,46.78
25,-71.27,355.77,273.97,1,13.6,52.43
24,-58.18,679.43,586.76,1,15.93,48.23
29,-67.37,306.66,210.94,1,11.52,52.45
14,-48.44,856.9,777.89,1,8.72,62.44
11,-60.49,333.47,377.58,1,16.4,51.76
7,-68.86,239.79,252.15,1,11.84,51.8
26,-60.03,676,525.78,1,14.7,62.73
36,-76.5,107.44,150.95,1,14.4,53.75
26,-60.95,535.06,524.49,1,16.69,51.63
19,-46.92,874.18,846.98,1,6.19,48.32
11,-60.34,465.09,228.34,1,15.04,49.33
8,-66.28,251.62,401.7,1,13.83,50.88
27,-54.55,641.24,634.47,1,14.39,54.15
32,-74.05,235.01,183.15,1,15.65,78.4
4,-50.91,783.86,877.08,0,2.79,49.35
7,-70.3,216.07,255.05,1,4.43,56.89
8,-66.03,264.5,390.01,1,13.72,51.09
21,-50.54,870.38,875.13,1,15.97,46.77
15,-50.16,645.49,712.72,1,15.59,51.59
33,-70.55,393.38,237.02,1,8.21,74.32
7,-70.16,153.84,234.68,1,15.23,47.71
2,-73.42,177.95,135.48,1,14.37,48.83
23,-67.26,524.47,591.99,1,15.67,51
11,-62.32,350.72,229.14,1,16.2,49.05
16,-52.44,864.29,787.58,1,15.75,44.42
2,-72.79,166.04,102.32,1,13.97,49.59
23,-68.25,540.4,599.3,1,10.45,50.7
15,-49.43,775.27,771.64,1,4.78,62.89
28,-64.83,482.12,343.9,1,12.92,61.65
22,-60.02,644.35,665.9,1,17.47,54.09
12,-66.51,481.68,289.29,1,15.29,50.98
31,-77.36,175.78,134.76,1,14.29,74.32
7,-70.1,180.87,198.46,1,14.04,54.24
6,-68.19,459.84,285.64,1,15.04,47.5
7,-70.43,229.58,282.67,1,10.86,51.66
17,-49.78,845.25,865.18,1,4.35,48.1
33,-71.7,478.84,288.65,1,13.79,72.67
6,-67.94,486.65,232.9,1,14.74,46.14
27,-54.39,665.78,550.96,1,14.16,49.36
7,-70.34,230.78,272.01,1,11.01,51.11
13,-60.04,477.8,519.57,1,17.44,54.08
13,-60.14,660.58,581.18,1,13.7,56.19
13,-60.98,455.4,519.88,1,13.86,50.63
2,-72.53,177.7,111.16,1,14,48.6
29,-67.99,359.54,245.51,1,16.39,49.98
14,-49.63,859.98,754.19,1,16.55,50.42
33,-70.99,342.79,324.32,1,15.16,63.39
32,-72.89,241.08,167.42,1,8.53,66.69
21,-51.27,841.86,880.7,1,15.3,52.21
17,-49.4,865.08,861.3,1,4.83,47.38
10,-60.27,335.81,374.94,1,16.7,48.95
4,-53.48,661.98,864.59,0,14.27,49.65
22,-59.49,698.9,656.65,1,16.52,53.23
21,-50.47,863.65,872.65,1,14.67,47.07
25,-70.93,347.45,298.51,1,13.47,52.18
11,-60.1,347.34,389.1,1,17.72,49.64
19,-47.61,865.9,879.09,1,14.68,52.05
16,-53.64,634.39,635.3,1,5.63,50.62
18,-54.42,647.15,583.98,1,15.9,53.17
26,-60.08,693.23,591.85,1,16.06,50.65
22,-59.39,663.33,650.86,1,14.95,51.88
29,-68.12,356.07,343,1,7.19,47.78
18,-52.59,645.8,648.82,1,5.31,49.43
19,-47.45,879.01,860.17,1,17.31,47.34
32,-72.49,248.84,211.63,1,15.42,75.66
10,-59.5,464.77,357.96,1,5.34,54.75
23,-66,666.17,658.07,1,16.45,44.58
21,-51.46,880.41,876.2,1,15.54,47.8
26,-60.7,539.47,511.84,1,16.08,53.37
35,-74.23,242.83,139.73,1,14.58,52.36
33,-70.61,494.86,248.35,1,16.06,96.31
29,-68.52,373.86,370.07,1,17.11,69.97
33,-70.97,315.8,316.96,1,16.12,80.87
1,-76.29,143.27,154.34,1,15.1,47.13
25,-71.28,473.78,241.54,1,11.92,56.83
16,-52.48,765.2,774.84,1,17.99,47.47
12,-67.41,350.71,174.07,1,16.29,53.46
7,-70.12,175.78,238.96,1,15.26,47.34
20,-40.01,860.18,854.2,1,17.34,45.88
13,-59.15,641.57,580.55,1,12.97,54.73
33,-71.44,255.47,231.17,1,7.1,73.26
26,-60.08,521.44,537.45,1,15.34,53.86
23,-68.15,663.05,585,1,16.1,48.83
9,-62.61,535.46,463.45,1,15.5,64.12
33,-70.88,360.31,312.72,1,3.87,64.04
23,-65.91,667.5,592.17,1,16.75,50.93
3,-65.83,463.67,256.14,1,16.96,52.45
29,-68.05,362.48,262.34,1,15.32,59.81
29,-67.37,338.36,342.06,1,15.89,53.05
1,-76.49,196.81,125.92,1,16.92,54.43
23,-66.61,646.16,653.01,1,17.81,52.98
35,-74.28,159.2,139.02,1,14.85,49.06
25,-72.39,370.1,312.68,1,10.63,56.03
27,-54.2,617.27,612.84,1,17.28,53.4
20,-39.24,879.05,855.4,1,17.12,46.72
14,-48.71,880.86,804.72,1,7.69,53.86
12,-67.32,377.47,280.78,1,14.22,62.52
18,-53.72,654.17,639.38,1,16.73,45.84
7,-70.82,162.15,219.04,1,15.01,47.55
17,-49.1,892.95,881.13,1,11.5,51.53
26,-60.83,533.15,507.27,1,17.03,61.18
29,-68.91,471.3,316.94,1,15.66,55.44
29,-68.22,381.72,372.91,1,14.43,53.93
32,-74.37,172.84,237.92,1,13.76,65.91
20,-38.85,858.33,839.83,1,15.66,46.51
35,-76.17,92.44,138.55,1,14.72,52.18
28,-64.1,519.11,370.66,1,15.43,62.76
2,-73.14,164.32,126.55,1,13.85,46.58
16,-52.78,784.87,787.07,1,16.05,48.63
7,-69.98,237.45,262.62,1,15.46,49.94
16,-52.97,662.32,658.47,1,15.52,51.9
12,-67.03,471.9,280.4,1,13.63,49.28
36,-75.45,103.65,54.27,1,14.03,58.67
34,-70.76,297.2,237.42,0,12.89,57.52
29,-68.42,374.28,297.59,1,13.95,69.92
6,-71.15,482.32,246.34,1,16.04,51.54
27,-55.87,527.29,603.7,1,16.5,46.28
31,-76.69,181.62,115.56,1,13.37,89.32
16,-53.23,879.11,782.75,1,15.84,43.6
21,-50.96,868.95,883.82,1,16.25,52.69
17,-48.86,847.82,893.02,1,14.51,45.15
8,-65.65,351.63,298.3,1,16.28,51.31
33,-70.28,468.41,236.94,1,15.51,63.81
1,-75.81,163.27,136.45,1,16.42,47.77
10,-60.9,477.44,386.36,1,16.25,49.16
23,-66.53,661.01,634.76,1,3.1,52.08
21,-51.14,874.65,883.6,1,16.04,47.55
11,-61.01,349.26,383.1,1,17.99,49.32
32,-73.73,226.21,156.61,1,14.41,64.68
22,-58.97,533.07,648.66,1,16.58,47.94
17,-49.16,890.79,877.11,1,15.88,46.64
12,-66.9,261,174.72,1,16.2,50.83
2,-72.73,188.85,198.67,1,15.31,48.41
13,-60.86,525.88,567.57,1,4.52,52.08
27,-55.03,538.99,633.83,1,9.84,48.48
32,-73.83,236.56,181,1,13.45,63.61
7,-70.4,217.56,260.89,1,15.78,51.03
24,-62.86,677.83,599.18,1,10.04,53.75
7,-70.19,355.49,255.2,1,14.54,54.03
27,-55.02,710.26,473.31,1,17.14,46.22
15,-50.49,856.29,774.52,1,4.07,50.4
21,-51.97,853.13,850.8,1,13.97,56.33
35,-72.96,197.53,129.57,1,17.1,52.47
34,-71.45,223.91,100.3,0,4.91,60.27
26,-60.71,513.5,536.16,1,15.53,53.69
7,-69.64,240.18,176.95,1,14.75,50.65
34,-69.94,276.12,236.37,0,3.65,59.4
10,-60.42,586.64,382.46,1,15.02,51.4
34,-71.31,264.41,229.18,0,3.32,59.31
9,-62.63,640.93,522.02,1,5.16,80.96
11,-62.29,350.18,384.3,1,16.79,58.06
28,-64.75,466.08,377.52,1,15.18,89.7
23,-66.96,589.59,584.76,1,16.82,55.34
32,-73.95,231.18,244.46,1,4.73,67.24
10,-60.88,338.91,390.86,1,5.4,51.48
